#RUN,Digest Matching, Service time Digest, Service time Normal, Service time Premium, Service time Reliable,Response time Digest, Response time Normal, Response time Premium, Response time Reliable, Wait time Digest, Wait time Normal, Wait time Premium, Wait time Reliable,Interarrival time Digest, Interarrival time Normal, Interarrival time Premium, Interarrival time Reliable, Avg num of jobs Digest, Avg num of jobs Normal, Avg num of jobs Premium, Avg num of jobs Reliable, Num of timeouts Normal, Num of timeouts Premium, Num of timeouts Reliable, Global Response Time, Global Premium Response Time, Global Normal Response Time, Percentage of Failure, Rho Digest, Rho Normal, Rho Premium, Rho Reliable
25,4828,0.599425,147.010339,119.456586,74.961853,1.971579,194.013755,143.171761,317.889290,1.372154,47.003416,23.715175,242.927438,0.865879,3.052380,1.296310,92.834010,2.276968,63.561464,110.445656,3.424276,511.000000,420.000000,0.000000,155.603364,140.175405,191.887829,0.000000,0.692273,0.963251,0.970013,0.807483
26,4725,0.599114,147.909643,119.203664,72.133317,2.010148,215.525395,143.320555,314.266640,1.411034,67.615752,24.116890,242.133323,0.863605,3.022323,1.294681,87.668920,2.327624,71.311161,110.699489,3.584698,523.000000,461.000000,0.000000,162.284589,140.648087,212.771682,0.000000,0.693736,0.978781,0.969177,0.822792
27,4790,0.599323,147.537881,118.888451,73.159086,1.923993,210.320068,155.908892,306.346400,1.324670,62.782187,37.020441,233.187314,0.858787,3.036398,1.282599,89.517898,2.240362,69.266307,121.557040,3.422180,527.000000,436.000000,0.000000,168.731403,152.282467,207.685697,0.000000,0.697872,0.971795,0.975720,0.817257
28,4831,0.602480,146.529035,118.744969,75.152297,1.999659,191.575768,132.754090,595.460754,1.397178,45.046732,14.009121,520.308457,0.867352,3.047746,1.300494,91.283596,2.305476,62.858180,102.079744,6.523196,514.000000,432.000000,0.000000,150.709227,132.039197,194.421257,0.000000,0.694621,0.961557,0.961133,0.823284
29,4965,0.597464,147.573665,119.497157,74.608100,1.968628,248.936914,142.382909,384.136474,1.371164,101.363250,22.885753,309.528374,0.863896,3.015799,1.301213,84.374238,2.278778,82.544256,109.423217,4.552770,539.000000,485.000000,0.000000,171.737814,140.033695,245.073086,0.000000,0.691593,0.978670,0.966686,0.884252
30,4915,0.600320,146.987311,119.176313,77.776186,1.977618,223.190590,138.370192,552.515971,1.377298,76.203278,19.193879,474.739785,0.866540,3.038434,1.302029,88.947122,2.282201,73.455803,106.272737,6.211735,511.000000,460.000000,0.000000,163.097181,137.080466,223.942528,0.000000,0.692778,0.967520,0.963487,0.874409
31,4879,0.598718,147.349601,119.186801,75.086427,1.968981,198.363280,141.039307,331.169039,1.370263,51.013679,21.852506,256.082613,0.861340,3.028169,1.291492,93.838991,2.285951,65.506024,109.206494,3.529120,496.000000,426.000000,0.000000,155.496622,138.201660,196.003850,0.000000,0.695101,0.973193,0.971433,0.800162
32,4834,0.599432,146.080889,119.810210,74.072218,1.950615,211.581038,147.642389,337.349222,1.351184,65.500149,27.832179,263.277004,0.864645,3.017000,1.300099,88.341914,2.255971,70.129619,113.562377,3.818677,521.000000,456.000000,0.000000,164.072059,144.815698,208.592541,0.000000,0.693269,0.968385,0.970049,0.838472
33,4778,0.600190,146.595734,119.752517,73.832493,1.958762,216.976874,158.013777,657.861961,1.358573,70.381141,38.261260,584.029468,0.863655,3.040882,1.292381,88.594575,2.267992,71.353277,122.265638,7.425533,508.000000,468.000000,0.000000,175.587365,156.789252,219.846732,0.000000,0.694941,0.964166,0.975373,0.833375
34,4718,0.597037,146.850048,120.151857,74.915370,1.965871,254.990758,156.918958,547.094674,1.368834,108.140710,36.767101,472.179303,0.862168,3.007166,1.294063,87.395609,2.280147,84.794362,121.260721,6.259979,553.000000,432.000000,0.000000,184.991677,154.915276,254.814064,0.000000,0.692483,0.976667,0.977353,0.857198
35,4869,0.598817,147.677539,119.782309,74.378025,1.926701,223.489200,153.151232,530.390581,1.327884,75.811661,33.368923,456.012556,0.863839,3.033604,1.295864,85.680594,2.230394,73.671181,118.184624,6.190323,530.000000,477.000000,0.000000,172.988414,151.129734,224.285295,0.000000,0.693205,0.973611,0.972993,0.868085
